timestamp,asn,num_routes,num_new_routes,num_withdrawals,num_origin_changes,num_route_changes,max_path_length,avg_path_length,max_edit_distance,avg_edit_distance,num_announcements,num_unique_prefixes_announced
2018-11-12 06:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 06:10:00,4809,2,1,0,0,0,3,1.5,0,0.0,7,2
2018-11-12 06:15:00,4809,2,0,0,0,1,4,3.5,2,1.0,3,2
2018-11-12 06:20:00,4809,1,0,1,0,0,3,3.0,0,0.0,1,1
2018-11-12 06:25:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 06:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 06:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 06:40:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 06:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 06:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 06:55:00,4809,1,0,0,0,0,3,3.0,0,0.0,4,1
2018-11-12 07:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 07:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 07:10:00,4809,112,111,0,0,0,3,0.026785714285714284,0,0.0,114,112
2018-11-12 07:15:00,4809,1,0,111,0,0,3,3.0,0,0.0,1,1
2018-11-12 07:20:00,4809,14,13,9,0,0,3,0.21428571428571427,0,0.0,34,14
2018-11-12 07:25:00,4809,1,0,15,0,0,3,3.0,0,0.0,5,1
2018-11-12 07:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 07:35:00,4809,2,1,0,0,0,3,1.5,0,0.0,4,2
2018-11-12 07:40:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 07:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 07:50:00,4809,201,200,0,0,0,3,0.014925373134328358,0,0.0,203,201
2018-11-12 07:55:00,4809,203,2,0,0,90,9,4.985221674876847,4,1.206896551724138,284,203
2018-11-12 08:00:00,4809,203,0,0,0,78,9,5.187192118226601,4,1.0344827586206897,233,203
2018-11-12 08:05:00,4809,173,0,30,0,150,7,5.0520231213872835,4,2.277456647398844,174,173
2018-11-12 08:10:00,4809,1,0,172,0,1,3,3.0,2,2.0,3,1
