Timestamp,Autonomous System Number,Total Routes,New Routes,Withdrawals,Origin Changes,Route Changes,Maximum Path Length,Average Path Length,Maximum Edit Distance,Average Edit Distance,Announcements,Unique Prefixes Announced,Average MED,Average Local Preference,Total Communities,Unique Communities,Community Values,Total Updates,Average Updates per Peer,Max Updates from a Single Peer,Min Updates from a Single Peer,Std Dev of Updates,Total Prefixes Announced,Average Announcements per Prefix,Max Announcements for a Single Prefix,Min Announcements for a Single Prefix,Std Dev of Announcements,Count of Unexpected ASNs in Paths,Unexpected ASN 1,Unexpected ASN 2,Unexpected ASN 3,Target Prefixes Withdrawn,Target Prefixes Announced,AS Path Changes,AS Path Prepending,All Peers,Total Peers,All Paths,Total Paths,All Prefixes Announced,Total Prefixes Announced List,All Prefixes Withdrawn,Total Prefixes Withdrawn List,Average Prefix Length,Max Prefix Length,Min Prefix Length
2021-10-05 10:00:00,32934,79,79,0,0,0,5,3.848101265822785,0,0.0,123,79,0,0,355,27,"['3491:3022', '57866:101', '1299:35000', '3491:3017', '3491:3000', '3491:9002', '6830:17000', '57866:501', '6830:23001', '6453:3400', '34927:630', '1299:30000', '6453:3403', '6830:34106', '6453:3402', '3491:53900', '1299:20000', '6830:17465', '17152:1', '6453:50', '57866:100', '3491:3007', '57866:109', '3491:3010', '6453:3000']",123,61.5,68,55,6.5,79,1.5569620253164558,5,1,1.3847892993597335,0,0,0,0,0,0,0,0,"[34927, 202365]",2,"['202365,57866,6453,32934', '202365,57866,3491,174,32934', '202365,57866,1299,32934,11917', '34927,32934', '202365,57866,1299,174,32934', '202365,57866,3491,32934', '202365,57866,6453,32934,54115', '202365,57866,1299,32934,54115', '202365,57866,1299,32934', '202365,57866,6830,32934', '34927,32934,11917', '202365,57866,1299,32934,63293']",12,"['2a03:2881::/32', '2a03:2880::/32', '2a03:2880::/36', '2a03:2880:f2ff::/48', '2a03:2880:f0ff::/48', '2a03:2880:f1ff::/48', '2a03:2880:1000::/36', '2620:0:1c00::/40', '2a03:2880:2000::/36', '2a03:2880:3000::/36', '2620:13e:1000::/44', '66.111.49.0/24', '129.134.160.0/24', '129.134.31.0/24', '129.134.25.0/24', '129.134.29.0/24', '129.134.26.0/24', '157.240.200.0/24', '157.240.194.0/24', '157.240.234.0/24', '157.240.9.0/24', '157.240.21.0/24', '157.240.240.0/24', '157.240.232.0/24', '157.240.30.0/24', '157.240.205.0/24', '157.240.231.0/24', '185.60.218.0/24', '185.60.217.0/24', '179.60.195.0/24', '179.60.192.0/24', '129.134.72.0/24', '129.134.69.0/24', '129.134.73.0/24', '129.134.75.0/24', '129.134.76.0/24', '129.134.66.0/24', '129.134.67.0/24', '129.134.71.0/24', '129.134.65.0/24', '129.134.70.0/24', '129.134.74.0/24', '129.134.68.0/24', '129.134.79.0/24', '157.240.3.0/24', '157.240.22.0/24', '157.240.26.0/24', '157.240.28.0/24', '157.240.19.0/24', '157.240.229.0/24', '157.240.25.0/24', '157.240.24.0/24', '157.240.220.0/24', '157.240.18.0/24', '157.240.2.0/24', '157.240.11.0/24', '157.240.14.0/24', '157.240.241.0/24', '157.240.17.0/24', '157.240.207.0/24', '157.240.221.0/24', '157.240.214.0/24', '157.240.218.0/24', '157.240.217.0/24', '157.240.206.0/24', '157.240.196.0/24', '157.240.195.0/24', '157.240.236.0/24', '157.240.20.0/24', '185.60.216.0/24', '157.240.235.0/24', '157.240.15.0/24', '157.240.7.0/24', '157.240.13.0/24', '163.114.133.0/24', '163.114.130.0/24', '163.114.128.0/24', '163.114.132.0/24', '199.201.67.0/24']",79,[],0,30.991869918699187,48.0,24.0
2021-10-05 10:05:00,32934,11,0,0,0,0,3,2.090909090909091,0,0.0,33,11,0,0,44,3,['34927:630'],33,33.0,33,33,0.0,11,3.0,3,3,0.0,0,0,0,0,0,0,0,0,[34927],1,"['34927,32934', '34927,32934,11917']",2,"['2a03:2881::/32', '2a03:2880::/32', '2a03:2880::/36', '2a03:2880:f2ff::/48', '2a03:2880:f0ff::/48', '2a03:2880:f1ff::/48', '2a03:2880:1000::/36', '2620:0:1c00::/40', '2a03:2880:2000::/36', '2a03:2880:3000::/36', '2620:13e:1000::/44']",11,[],0,39.63636363636363,48.0,32.0
2021-10-05 10:10:00,32934,117,106,0,0,3,4,3.0854700854700856,3,3.0,262,117,0,0,66,3,['34927:630'],262,131.0,218,44,87.0,117,2.2393162393162394,6,2,0.7915102155754037,0,0,0,0,0,0,0,0,"[34927, 58057]",2,"['58057,6939,1299,32934', '58057,6939,6453,32934', '58057,6939,32934', '34927,32934', '58057,6939,32934,54115', '34927,32934,11917']",6,"['2a03:2881::/32', '2a03:2880::/32', '2a03:2880::/36', '2a03:2880:f2ff::/48', '2a03:2880:f0ff::/48', '2a03:2880:f1ff::/48', '2a03:2880:1000::/36', '2620:0:1c00::/40', '2a03:2880:2000::/36', '2a03:2880:3000::/36', '2620:13e:1000::/44', '2a03:2881:4002::/48', '2a03:2881:4000::/48', '2a03:2881:4001::/48', '2a03:2881:4006::/48', '2a03:2881:4007::/48', '2a03:2881:4004::/48', '2a03:2881:4009::/48', '2620:10d:c09a::/48', '2620:10d:c095::/48', '2620:10d:c094::/48', '2620:10d:c091::/48', '2620:10d:c090::/48', '2a03:2881:2::/48', '2a03:2881::/48', '2a03:2881:1::/48', '2a03:2881:6::/48', '2a03:2881:7::/48', '2a03:2881:4::/48', '2a03:2881:5::/48', '2a03:2881:a::/48', '2a03:2881:b::/48', '2a03:2881:8::/48', '2a03:2881:9::/48', '2a03:2881:f::/48', '2a03:2881:c::/48', '2a03:2880:f203::/48', '2a03:2880:f201::/48', '2a03:2880:f207::/48', '2a03:2880:f206::/48', '2a03:2880:f205::/48', '2a03:2880:f20a::/48', '2a03:2880:f208::/48', '2a03:2880:f20f::/48', '2a03:2880:f20e::/48', '2a03:2880:f20d::/48', '2a03:2880:f20c::/48', '2a03:2880:f213::/48', '2a03:2880:f211::/48', '2a03:2880:f219::/48', '2a03:2880:f227::/48', '2a03:2880:f22c::/48', '2a03:2880:f233::/48', '2a03:2880:f232::/48', '2a03:2880:f231::/48', '2a03:2880:f234::/48', '2a03:2880:f241::/48', '2a03:2880:f245::/48', '2a03:2880:f248::/48', '2a03:2880:f25e::/48', '2a03:2880:f235::/48', '2a03:2880:f25c::/48', '2a03:2880:f25a::/48', '2a03:2880:f003::/48', '2a03:2880:f001::/48', '2a03:2880:f007::/48', '2a03:2880:f006::/48', '2a03:2880:f005::/48', '2a03:2880:f00a::/48', '2a03:2880:f008::/48', '2a03:2880:f00f::/48', '2a03:2880:f00e::/48', '2a03:2880:f00d::/48', '2a03:2880:f00c::/48', '2a03:2880:f013::/48', '2a03:2880:f011::/48', '2a03:2880:f019::/48', '2a03:2880:f027::/48', '2a03:2880:f02c::/48', '2a03:2880:f033::/48', '2a03:2880:f032::/48', '2a03:2880:f031::/48', '2a03:2880:f034::/48', '2a03:2880:f035::/48', '2a03:2880:f041::/48', '2a03:2880:f045::/48', '2a03:2880:f048::/48', '2a03:2880:f05e::/48', '2a03:2880:f103::/48', '2a03:2880:f101::/48', '2a03:2880:f107::/48', '2a03:2880:f106::/48', '2a03:2880:f105::/48', '2a03:2880:f10a::/48', '2a03:2880:f108::/48', '2a03:2880:f10f::/48', '2a03:2880:f10e::/48', '2a03:2880:f10d::/48', '2a03:2880:f10c::/48', '2a03:2880:f113::/48', '2a03:2880:f111::/48', '2a03:2880:f119::/48', '2a03:2880:f127::/48', '2a03:2880:f12c::/48', '2a03:2880:f133::/48', '2a03:2880:f132::/48', '2a03:2880:f131::/48', '2a03:2880:f134::/48', '2a03:2880:f05a::/48', '2a03:2880:f05c::/48', '2a03:2880:f135::/48', '2a03:2880:f141::/48', '2a03:2880:f145::/48', '2a03:2880:f148::/48', '2a03:2880:f15e::/48', '2a03:2880:f15a::/48', '2a03:2880:f15c::/48']",117,[],0,46.3206106870229,48.0,32.0
2021-10-05 10:15:00,32934,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,[],0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,[],0,[],0,[],0,[],0,0.0,0.0,0.0
