timestamp,asn,num_routes,num_new_routes,num_withdrawals,num_origin_changes,num_route_changes,max_path_length,avg_path_length,max_edit_distance,avg_edit_distance,num_announcements,num_unique_prefixes_announced
2018-07-29 20:00:00,58224,0,0,62,0,0,0,0.0,0,0.0,505,8
2018-07-29 20:05:00,58224,1,0,17,0,1,6,6.0,21,21.0,155,1
2018-07-29 20:10:00,58224,0,0,81,0,0,0,0.0,0,0.0,742,0
2018-07-29 20:15:00,58224,0,0,3,0,0,0,0.0,0,0.0,10,0
2018-07-29 20:20:00,58224,0,0,0,0,0,0,0.0,0,0.0,0,0
2018-07-29 20:25:00,58224,1,1,2,0,0,0,0.0,0,0.0,94,1
2018-07-29 20:30:00,58224,39,39,78,0,0,0,0.0,0,0.0,2903,39
2018-07-29 20:35:00,58224,35,0,6,0,34,12,5.8,10,2.5142857142857142,544,35
2018-07-29 20:40:00,58224,59,59,499,0,0,0,0.0,0,0.0,22863,59
2018-07-29 20:45:00,58224,36,0,23,0,36,7,7.0,13,13.0,36,36
2018-07-29 20:50:00,58224,7,7,36,0,0,0,0.0,0,0.0,181,7
2018-07-29 20:55:00,58224,202,202,3121,0,0,0,0.0,0,0.0,71062,202
2018-07-29 21:00:00,58224,166,25,1804,0,141,13,5.379518072289157,9,3.0963855421686746,20242,166
2018-07-29 21:05:00,58224,104,46,237,0,58,12,3.326923076923077,5,1.5096153846153846,588,104
2018-07-29 21:10:00,58224,19,7,159,0,12,5,3.1052631578947367,3,1.631578947368421,344,19
2018-07-29 21:15:00,58224,25,17,51,0,8,5,1.36,1,0.32,118,25
2018-07-29 21:20:00,58224,39,32,19,0,7,6,0.8205128205128205,14,0.8461538461538461,40,39
2018-07-29 21:25:00,58224,36,29,94,0,7,7,1.3055555555555556,3,0.5833333333333334,466,36
2018-07-29 21:30:00,58224,58,41,19,0,17,8,1.5517241379310345,3,0.4827586206896552,61,58
2018-07-29 21:35:00,58224,9,7,116,0,2,8,1.7777777777777777,3,0.6666666666666666,380,9
2018-07-29 21:40:00,58224,9,9,10,0,0,0,0.0,0,0.0,16,9
2018-07-29 21:45:00,58224,16,13,29,0,0,6,1.0625,0,0.0,266,16
2018-07-29 21:50:00,58224,0,0,62,0,0,0,0.0,0,0.0,93,0
2018-07-29 21:55:00,58224,143,143,57,0,0,0,0.0,0,0.0,488,143
2018-07-29 22:00:00,58224,12,1,134,0,11,11,6.333333333333333,3,1.5,53,12
2018-07-29 22:05:00,58224,16,9,6,0,4,6,2.25,5,0.875,50,16
2018-07-29 22:10:00,58224,0,0,94,0,0,0,0.0,0,0.0,529,0
2018-07-29 22:15:00,58224,9,9,65,0,0,0,0.0,0,0.0,361,9
2018-07-29 22:20:00,58224,0,0,13,0,0,0,0.0,0,0.0,6,0
2018-07-29 22:25:00,58224,1,1,0,0,0,0,0.0,0,0.0,3,1
2018-07-29 22:30:00,58224,55,55,2139,0,0,0,0.0,0,0.0,19201,55
2018-07-29 22:35:00,58224,19,0,54,0,19,15,11.473684210526315,4,2.473684210526316,661,19
2018-07-29 22:40:00,58224,18,4,5,0,14,14,7.777777777777778,12,8.333333333333334,44,18
2018-07-29 22:45:00,58224,15,2,5,0,13,14,11.533333333333333,11,9.0,26,15
2018-07-29 22:50:00,58224,5,5,85,0,0,0,0.0,0,0.0,745,5
2018-07-29 22:55:00,58224,36,33,5,0,3,7,0.5,5,0.25,5364,36
2018-07-29 23:00:00,58224,2,0,34,0,2,7,7.0,6,4.5,35,2
2018-07-29 23:05:00,58224,4,2,0,0,2,8,3.25,6,2.25,105,4
2018-07-29 23:10:00,58224,14,11,15,0,3,14,2.4285714285714284,5,0.6428571428571429,308,14
2018-07-29 23:15:00,58224,11,0,59,0,11,13,13.0,2,2.0,249,11
2018-07-29 23:20:00,58224,42,42,373,0,0,0,0.0,0,0.0,12634,42
2018-07-29 23:25:00,58224,42,2,2,0,40,19,13.5,4,3.0238095238095237,293,42
2018-07-29 23:30:00,58224,49,11,4,0,38,18,10.612244897959183,3,2.2653061224489797,117,49
2018-07-29 23:35:00,58224,54,15,69,0,39,17,10.62962962962963,3,1.3518518518518519,1411,54
2018-07-29 23:40:00,58224,5,0,49,0,5,8,8.0,4,3.2,74,5
2018-07-29 23:45:00,58224,13,8,5,0,5,8,3.076923076923077,4,1.5384615384615385,981,13
2018-07-29 23:50:00,58224,0,0,13,0,0,0,0.0,0,0.0,0,0
2018-07-29 23:55:00,58224,30,30,94,0,0,0,0.0,0,0.0,2856,30
2018-07-30 00:00:00,58224,7,2,25,0,5,7,5.0,3,2.142857142857143,140,7
2018-07-30 00:05:00,58224,15,13,66,0,1,18,2.2666666666666666,14,0.9333333333333333,244,15
2018-07-30 00:10:00,58224,15,9,10,0,1,18,6.4,2,0.13333333333333333,18,15
2018-07-30 00:15:00,58224,17,15,13,0,0,18,2.1176470588235294,0,0.0,30,17
2018-07-30 00:20:00,58224,6,5,16,0,0,15,2.5,0,0.0,6,6
2018-07-30 00:25:00,58224,37,37,637,0,0,0,0.0,0,0.0,9792,37
2018-07-30 00:30:00,58224,15,5,27,0,10,15,6.666666666666667,3,2.0,25,15
2018-07-30 00:35:00,58224,5,1,11,0,4,14,10.0,3,1.8,6,5
2018-07-30 00:40:00,58224,202,202,1748,0,0,0,0.0,0,0.0,28170,202
2018-07-30 00:45:00,58224,97,29,201,0,68,15,5.268041237113402,4,2.3917525773195876,514,97
2018-07-30 00:50:00,58224,14,8,92,0,6,8,3.142857142857143,1,0.42857142857142855,16,14
2018-07-30 00:55:00,58224,2,2,144,0,0,0,0.0,0,0.0,504,2
2018-07-30 01:00:00,58224,7,7,2,0,0,0,0.0,0,0.0,12,7
2018-07-30 01:05:00,58224,5,5,7,0,0,0,0.0,0,0.0,7,5
2018-07-30 01:10:00,58224,26,23,2,0,3,14,1.6153846153846154,2,0.23076923076923078,34,26
2018-07-30 01:15:00,58224,76,76,26,0,0,0,0.0,0,0.0,1522,76
2018-07-30 01:20:00,58224,27,27,76,0,0,0,0.0,0,0.0,54,27
2018-07-30 01:25:00,58224,106,104,717,0,2,11,0.1792452830188679,5,0.07547169811320754,17555,106
2018-07-30 01:30:00,58224,83,72,173,0,11,8,0.8072289156626506,6,0.4939759036144578,1435,83
2018-07-30 01:35:00,58224,94,13,131,0,44,15,9.914893617021276,14,4.095744680851064,4334,94
2018-07-30 01:40:00,58224,48,0,46,0,48,15,11.270833333333334,13,8.083333333333334,154,48
2018-07-30 01:45:00,58224,81,46,97,0,35,16,5.580246913580247,13,1.123456790123457,1758,81
2018-07-30 01:50:00,58224,21,14,84,0,7,5,1.6666666666666667,4,1.3333333333333333,234,21
2018-07-30 01:55:00,58224,81,67,11,0,10,5,0.8641975308641975,1,0.12345679012345678,6190,81
2018-07-30 02:00:00,58224,44,4,1570,0,40,16,7.818181818181818,14,5.75,13252,44
2018-07-30 02:05:00,58224,38,12,36,0,26,16,4.157894736842105,12,4.684210526315789,136,38
2018-07-30 02:10:00,58224,88,67,74,0,13,15,2.6818181818181817,13,1.8409090909090908,534,88
2018-07-30 02:15:00,58224,164,135,134,0,29,14,1.6951219512195121,13,0.3719512195121951,605,164
2018-07-30 02:20:00,58224,74,59,149,0,15,15,1.5405405405405406,13,0.7567567567567568,77,74
2018-07-30 02:25:00,58224,46,32,60,0,14,14,2.152173913043478,4,0.9347826086956522,49,46
2018-07-30 02:30:00,58224,2,2,47,0,0,0,0.0,0,0.0,3,2
2018-07-30 02:35:00,58224,3,3,2,0,0,0,0.0,0,0.0,3,3
2018-07-30 02:40:00,58224,14,11,0,0,3,14,2.357142857142857,1,0.21428571428571427,15,14
2018-07-30 02:45:00,58224,15,9,1534,0,6,14,5.6,1,0.4,11050,15
2018-07-30 02:50:00,58224,6,6,169,0,0,0,0.0,0,0.0,221,6
2018-07-30 02:55:00,58224,19,15,13,0,4,15,3.0,1,0.21052631578947367,38,19
2018-07-30 03:00:00,58224,154,145,10,0,9,14,0.8181818181818182,2,0.11688311688311688,7188,154
2018-07-30 03:05:00,58224,147,5,166,0,84,14,8.482993197278912,7,2.292517006802721,1824,147
2018-07-30 03:10:00,58224,0,0,332,0,0,0,0.0,0,0.0,322,0
2018-07-30 03:15:00,58224,381,381,81,0,0,0,0.0,0,0.0,1020,381
2018-07-30 03:20:00,58224,0,0,381,0,0,0,0.0,0,0.0,0,0
2018-07-30 03:25:00,58224,133,133,1,0,0,0,0.0,0,0.0,6397,133
2018-07-30 03:30:00,58224,42,1,92,0,41,13,6.4523809523809526,4,2.8333333333333335,119,42
2018-07-30 03:35:00,58224,11,1,65,0,10,18,5.363636363636363,2,1.4545454545454546,923,11
2018-07-30 03:40:00,58224,0,0,130,0,0,0,0.0,0,0.0,506,0
2018-07-30 03:45:00,58224,1,1,1,0,0,0,0.0,0,0.0,4,1
2018-07-30 03:50:00,58224,84,84,1,0,0,0,0.0,0,0.0,87,84
2018-07-30 03:55:00,58224,0,0,84,0,0,0,0.0,0,0.0,0,0
2018-07-30 04:00:00,58224,1,1,59,0,0,0,0.0,0,0.0,386,1
2018-07-30 04:05:00,58224,3,3,116,0,0,0,0.0,0,0.0,740,3
2018-07-30 04:10:00,58224,81,81,83,0,0,0,0.0,0,0.0,959,81
2018-07-30 04:15:00,58224,92,11,68,0,11,16,11.48913043478261,3,0.25,654,92
2018-07-30 04:20:00,58224,0,0,193,0,0,0,0.0,0,0.0,907,0
2018-07-30 04:25:00,58224,0,0,0,0,0,0,0.0,0,0.0,0,0
2018-07-30 04:30:00,58224,24,24,2120,0,0,0,0.0,0,0.0,22548,24
2018-07-30 04:35:00,58224,48,31,1427,0,17,5,1.7708333333333333,7,1.0,12667,48
2018-07-30 04:40:00,58224,147,104,1442,0,43,16,2.0136054421768708,5,0.8775510204081632,7882,147
2018-07-30 04:45:00,58224,14,0,511,0,14,6,6.0,3,3.0,1643,14
2018-07-30 04:50:00,58224,16,16,717,0,0,0,0.0,0,0.0,8863,16
2018-07-30 04:55:00,58224,219,208,2087,0,11,5,0.2191780821917808,2,0.1004566210045662,29460,219
2018-07-30 05:00:00,58224,105,6,1754,0,99,13,6.419047619047619,11,3.4,11578,105
2018-07-30 05:05:00,58224,46,23,1291,0,23,9,2.847826086956522,4,1.4565217391304348,7661,46
2018-07-30 05:10:00,58224,53,30,320,0,21,14,2.641509433962264,4,0.9056603773584906,11385,53
2018-07-30 05:15:00,58224,9,6,51,0,3,5,1.6666666666666667,4,1.1111111111111112,853,9
2018-07-30 05:20:00,58224,8,3,5,0,5,9,5.25,6,2.625,1019,8
2018-07-30 05:25:00,58224,26,26,8,0,0,0,0.0,0,0.0,1223,26
2018-07-30 05:30:00,58224,36,15,495,0,21,5,2.9166666666666665,5,2.0833333333333335,2153,36
2018-07-30 05:35:00,58224,58,36,30,0,20,16,3.0517241379310347,5,1.2586206896551724,1385,58
2018-07-30 05:40:00,58224,31,9,36,0,18,16,6.225806451612903,3,1.6451612903225807,140,31
2018-07-30 05:45:00,58224,21,4,107,0,17,17,7.0,5,2.3333333333333335,1018,21
2018-07-30 05:50:00,58224,77,63,8,0,14,14,1.6623376623376624,7,0.8311688311688312,95,77
2018-07-30 05:55:00,58224,34,5,130,0,29,12,6.470588235294118,7,2.6470588235294117,1008,34
2018-07-30 06:00:00,58224,9,4,36,0,5,17,4.777777777777778,15,2.3333333333333335,194,9
2018-07-30 06:05:00,58224,47,44,79,0,3,14,0.5531914893617021,3,0.19148936170212766,2550,47
2018-07-30 06:10:00,58224,135,118,30,0,17,15,0.9777777777777777,5,0.34074074074074073,765,135
2018-07-30 06:15:00,58224,118,38,124,0,80,15,4.186440677966102,7,2.7711864406779663,4702,118
2018-07-30 06:20:00,58224,12,9,248,0,3,5,1.25,5,1.0,1317,12
2018-07-30 06:25:00,58224,106,98,3836,0,8,10,0.5377358490566038,8,0.2641509433962264,55780,106
2018-07-30 06:30:00,58224,213,111,3872,0,102,12,3.6103286384976525,8,2.516431924882629,17567,213
2018-07-30 06:35:00,58224,28,0,369,0,28,11,8.642857142857142,7,3.607142857142857,862,28
