timestamp,asn,num_routes,num_new_routes,num_withdrawals,num_origin_changes,num_route_changes,max_path_length,avg_path_length,max_edit_distance,avg_edit_distance,num_announcements,num_unique_prefixes_announced,anomaly_status
2021-02-11 03:45:00,28548,25,9,3,0,16,9,4.8,8,3.48,35,25,no anomalies detected
2021-02-11 03:50:00,28548,21,3,7,0,17,6,4.476190476190476,8,4.190476190476191,27,21,no anomalies detected
2021-02-11 03:55:00,28548,3,2,20,0,1,6,2.0,2,0.6666666666666666,3,3,no anomalies detected
2021-02-11 04:00:00,28548,21,19,4,0,2,9,0.7142857142857143,3,0.238095238095238,53,21,no anomalies detected
2021-02-11 04:05:00,28548,20,14,15,0,6,10,2.2,3,0.6,23,20,no anomalies detected
2021-02-11 04:10:00,28548,21,7,6,0,4,10,3.7142857142857135,8,0.7142857142857143,75,21,no anomalies detected
2021-02-11 04:15:00,28548,25,8,6,0,4,8,3.44,3,0.36,95,25,no anomalies detected
2021-02-11 04:20:00,28548,18,11,85,0,7,9,2.2777777777777777,7,1.2222222222222223,838,18,no anomalies detected
2021-02-11 04:25:00,28548,28,20,72,0,8,6,1.5,7,0.75,410,28,no anomalies detected
2021-02-11 04:30:00,28548,34,13,20,0,7,8,3.4705882352941178,7,0.7647058823529411,306,34,no anomalies detected
2021-02-11 04:35:00,28548,110,92,39,0,18,10,1.018181818181818,8,0.5272727272727272,1617,110,no anomalies detected
2021-02-11 04:40:00,28548,152,54,524,0,86,10,4.322368421052632,8,2.361842105263158,15980,152,"anomaly detected at 2021-02-11 04:40:00 due to high value of num_withdrawals=524, num_route_changes=86, num_announcements=15980"
2021-02-11 04:45:00,28548,126,12,99,0,100,9,4.658730158730159,8,3.119047619047619,4122,126,"anomaly detected at 2021-02-11 04:45:00 due to high value of num_withdrawals=99, num_announcements=4122"
2021-02-11 04:50:00,28548,78,8,110,0,56,9,4.576923076923077,8,2.769230769230769,2082,78,no anomalies detected
2021-02-11 04:55:00,28548,78,35,94,0,42,8,3.0,8,1.8333333333333333,2430,78,no anomalies detected
2021-02-11 05:00:00,28548,66,23,59,0,43,10,3.4242424242424243,7,2.4696969696969697,543,66,no anomalies detected
2021-02-11 05:05:00,28548,21,11,56,0,9,10,2.8095238095238093,7,1.0476190476190477,114,21,no anomalies detected
2021-02-11 05:10:00,28548,154,135,13,0,19,11,0.8311688311688312,10,0.6623376623376623,1135,154,"anomaly detected at 2021-02-11 05:10:00 due to high value of num_routes=154, num_new_routes=135, num_unique_prefixes_announced=154"
2021-02-11 05:15:00,28548,149,4,76,0,131,9,4.97986577181208,9,3.664429530201342,3854,149,"anomaly detected at 2021-02-11 05:15:00 due to high value of num_new_routes=4, num_route_changes=131"
2021-02-11 05:20:00,28548,109,6,46,0,89,9,5.128440366972477,8,3.4954128440366974,1244,109,no anomalies detected
2021-02-11 05:25:00,28548,52,1,70,0,45,9,5.269230769230769,7,3.519230769230769,511,52,no anomalies detected
2021-02-11 05:30:00,28548,63,52,41,0,11,6,1.0,7,0.5396825396825397,512,63,no anomalies detected
2021-02-11 05:35:00,28548,22,1,42,0,8,9,5.181818181818182,8,1.0454545454545454,43,22,no anomalies detected
2021-02-11 05:40:00,28548,21,6,7,0,2,6,3.619047619047619,8,0.4285714285714285,119,21,no anomalies detected
2021-02-11 05:45:00,28548,126,120,15,0,6,8,0.3095238095238095,7,0.2619047619047619,170,126,no anomalies detected
2021-02-11 05:50:00,28548,15,14,125,0,1,6,0.4,2,0.1333333333333333,17,15,no anomalies detected
2021-02-11 05:55:00,28548,14,0,1,0,0,5,5.0,0,0.0,16,14,no anomalies detected
2021-02-11 06:00:00,28548,1,1,14,0,0,0,0.0,0,0.0,1,1,no anomalies detected
2021-02-11 06:05:00,28548,15,15,1,0,0,0,0.0,0,0.0,17,15,no anomalies detected
2021-02-11 06:10:00,28548,14,0,1,0,0,5,5.0,0,0.0,16,14,no anomalies detected
2021-02-11 06:15:00,28548,15,1,0,0,14,9,7.066666666666666,8,5.533333333333333,15,15,anomaly detected at 2021-02-11 06:15:00 due to high value of avg_edit_distance=5.533333333333333
2021-02-11 06:20:00,28548,14,0,1,0,14,5,5.0,8,5.928571428571429,14,14,no anomalies detected
2021-02-11 06:25:00,28548,14,0,6,0,1,8,5.214285714285714,7,0.5,261,14,anomaly detected at 2021-02-11 06:25:00 due to high value of avg_edit_distance=0.5
2021-02-11 06:30:00,28548,0,0,63,0,0,0,0.0,0,0.0,259,0,no anomalies detected
2021-02-11 06:35:00,28548,14,14,1,0,0,0,0.0,0,0.0,22,14,no anomalies detected
2021-02-11 06:40:00,28548,13,0,2,0,2,5,5.0,8,0.8461538461538461,16,13,no anomalies detected
2021-02-11 06:45:00,28548,0,0,13,0,0,0,0.0,0,0.0,0,0,no anomalies detected
2021-02-11 06:50:00,28548,13,13,0,0,0,0,0.0,0,0.0,15,13,no anomalies detected
2021-02-11 06:55:00,28548,0,0,13,0,0,0,0.0,0,0.0,0,0,no anomalies detected
2021-02-11 07:00:00,28548,13,13,0,0,0,0,0.0,0,0.0,13,13,no anomalies detected
2021-02-11 07:05:00,28548,14,1,8,0,13,9,6.928571428571429,8,5.357142857142857,97,14,"anomaly detected at 2021-02-11 07:05:00 due to high value of max_path_length=9, avg_path_length=6.928571428571429, avg_edit_distance=5.357142857142857"
2021-02-11 07:10:00,28548,3,1,17,0,2,9,4.666666666666667,1,0.6666666666666666,12,3,no anomalies detected
2021-02-11 07:15:00,28548,37,34,11,0,1,9,0.5405405405405406,3,0.081081081081081,104,37,no anomalies detected
2021-02-11 07:20:00,28548,2,0,46,0,0,9,7.0,0,0.0,15,2,anomaly detected at 2021-02-11 07:20:00 due to high value of avg_path_length=7.0
2021-02-11 07:25:00,28548,14,12,0,0,2,5,0.7142857142857143,7,0.6428571428571429,15,14,no anomalies detected
2021-02-11 07:30:00,28548,14,0,0,0,1,6,5.071428571428571,2,0.1428571428571428,16,14,no anomalies detected
2021-02-11 07:35:00,28548,13,0,1,0,0,5,5.0,0,0.0,15,13,no anomalies detected
2021-02-11 07:40:00,28548,2,0,11,0,2,9,7.0,7,4.5,2,2,no anomalies detected
2021-02-11 07:45:00,28548,2,0,11,0,0,9,7.0,0,0.0,15,2,no anomalies detected
2021-02-11 07:50:00,28548,14,12,0,0,2,5,0.7142857142857143,7,0.6428571428571429,14,14,no anomalies detected
2021-02-11 07:55:00,28548,13,0,1,0,13,9,7.461538461538462,8,5.769230769230769,28,13,"anomaly detected at 2021-02-11 07:55:00 due to high value of avg_path_length=7.461538461538462, avg_edit_distance=5.769230769230769"
2021-02-11 08:00:00,28548,0,0,13,0,0,0,0.0,0,0.0,0,0,no anomalies detected
